MS_1,MS_2,MS_3,MS_4,MS_5,MS_6,MS_7,MS_8,MS_9,MS_10,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,DM_1,DM_2,DM_3,DM_4,DM_5,DM_6,DM_7,DM_8,DM_9,DM_10,DM_11,DM_12,DM_13,D2M_1,D2M_2,D2M_3,D2M_4,D2M_5,D2M_6,D2M_7,D2M_8,D2M_9,D2M_10,D2M_11,D2M_12,D2M_13,classID
0.010396936,4.885858,18.69408,6.9116817,12.041814,4.978973,0.41083962,0.025498638,0.004604559,0.01040558,-211.92815,66.23723,-126.49561,-57.229115,-17.226133,-26.349148,-6.9596286,15.0895405,10.113601,11.630382,-9.330247,0.32667738,-15.749868,-1.36E-06,1.51E-07,5.11E-08,3.41E-08,1.70E-08,-3.41E-08,1.70E-08,5.85E-09,-8.09E-08,4.26E-08,4.26E-09,4.26E-09,-2.55E-08,-4.09E-07,-3.41E-08,0,-3.41E-08,-5.11E-08,1.28E-08,0,-1.70E-08,-4.26E-09,3.83E-08,-8.51E-09,0,2.55E-08,3
0.005800612,0.001472174,0.001066157,0.001411911,0.003024012,0.003003062,0.001526417,0.00040406,2.37E-05,6.38E-06,-419.89035,103.82071,-47.530212,55.595406,5.428131,12.3631935,6.8333077,6.226771,2.7338233,8.446183,-7.6851645,17.917658,-6.69414,0,4.41E-08,-1.10E-08,1.10E-08,-5.51E-09,-1.38E-08,1.38E-09,5.51E-09,-8.27E-09,-2.76E-09,1.38E-09,0,2.76E-09,8.27E-09,-9.65E-09,0,-5.51E-09,-1.38E-09,2.07E-09,4.13E-09,-1.38E-09,-6.89E-10,7.58E-09,2.76E-09,-1.38E-09,-1.38E-09,2
0.004621121,0.000699429,0.001689934,0.001814246,0.00081851,0.000533484,0.000217974,0.000106643,6.99E-06,1.20E-06,-455.0029,116.39053,-41.63787,47.180508,4.6691456,19.304827,13.044013,5.0614395,3.0977702,7.604932,-8.785536,11.834618,-1.544356,-8.27E-09,1.10E-08,9.65E-09,-5.51E-09,8.27E-09,-5.51E-09,-8.27E-09,2.76E-09,-5.51E-09,2.76E-09,-2.76E-09,-1.38E-09,-1.38E-08,-1.10E-08,-3.45E-09,1.38E-09,-2.41E-09,5.51E-09,5.51E-09,-3.62E-09,4.13E-09,-3.45E-10,-8.61E-10,6.89E-10,4.13E-09,4.82E-09,2
0.012056626,0.010407139,0.002663483,0.002735863,0.003007491,0.002958958,0.001189478,0.000780033,0.000105071,2.00E-05,-409.66974,96.032,-29.925175,47.645836,6.7395005,9.791182,7.6500683,3.0687308,2.046871,6.0152893,-9.075834,18.598381,-3.8530169,2.21E-08,1.10E-08,0,-3.86E-08,-2.76E-09,5.51E-09,-5.51E-09,1.10E-08,-5.51E-09,-1.10E-08,-2.07E-09,-5.51E-09,5.51E-09,-5.51E-09,-3.45E-09,-1.93E-08,-8.27E-09,-8.27E-09,-1.38E-09,-2.76E-09,0,5.51E-09,2.76E-09,-1.03E-09,-9.65E-09,1.38E-09,2
0.004631077,0.000641441,0.000759535,0.00079927,0.001289829,0.001351971,0.000347866,0.000193444,1.11E-05,1.61E-06,-442.6227,108.38526,-47.222878,55.22556,7.747245,20.352463,7.3485494,5.8404965,6.999125,6.7595363,-11.401072,14.45954,-1.8225343,-1.10E-08,5.51E-09,7.24E-09,-4.13E-09,-2.76E-09,-4.13E-09,-2.76E-09,-2.76E-09,0,2.76E-09,-2.76E-09,-1.38E-09,-2.76E-09,1.38E-09,1.38E-09,-6.89E-09,-8.27E-09,1.72E-09,0,-1.38E-08,-6.89E-10,1.38E-09,2.76E-09,-3.79E-09,1.03E-09,-3.34E-09,2
0.012287006,0.000864522,0.000626089,0.000802274,0.000805661,0.00041563,0.000201204,0.000115272,1.25E-05,2.14E-06,-443.4748,112.46301,-29.423405,51.113377,7.029486,21.04318,9.7963295,7.9529076,2.1789577,7.0247455,-5.290988,11.629524,0.08049305,0,0,5.51E-09,2.76E-09,1.10E-08,5.51E-09,-2.76E-09,0,5.51E-09,-1.38E-09,-2.76E-09,2.76E-09,5.51E-09,0,-5.51E-09,2.76E-09,0,2.76E-09,-4.82E-09,-5.51E-09,1.38E-09,5.51E-09,-2.76E-09,-3.45E-09,-2.76E-09,-1.03E-09,2
0.005198597,0.000777138,0.000289033,0.000342248,0.000469428,0.00024976,8.70E-05,5.09E-05,7.36E-06,1.76E-06,-472.34863,113.82262,-23.001312,50.56397,7.311957,21.746843,5.6155834,7.424206,2.6157794,7.1950245,-5.098433,16.067076,-1.184564,1.38E-08,2.21E-08,5.51E-09,5.51E-09,5.51E-09,8.27E-09,2.76E-09,-2.76E-09,8.27E-09,2.76E-09,-1.10E-08,1.10E-08,4.13E-09,-2.76E-09,5.51E-09,1.72E-09,-3.10E-09,-2.76E-09,1.38E-09,-2.76E-09,2.76E-09,2.76E-09,3.45E-09,-5.51E-09,-2.76E-09,0,2
0.00656135,0.00055232,0.000535174,0.000838824,0.000358488,0.000195415,0.000120629,7.05E-05,9.04E-06,1.84E-06,-460.05914,110.98571,-23.557806,44.319336,0.43248463,26.374876,11.745938,11.859581,2.2967103,9.819138,-6.07003,13.186965,-2.2910824,-1.10E-08,4.13E-09,-2.76E-09,0,-8.27E-09,-2.76E-09,0,0,2.67E-09,8.27E-09,-1.38E-09,-2.76E-09,-8.27E-09,1.10E-08,3.45E-10,-2.76E-09,-2.76E-09,-3.79E-09,6.89E-10,6.20E-09,-2.14E-08,-5.51E-09,-1.38E-09,8.27E-09,2.41E-09,8.27E-09,2
0.007725508,0.000652732,0.000566521,0.000654514,0.000315118,0.000304173,0.000164951,0.000111173,1.04E-05,9.78E-07,-468.27194,121.36128,-33.078518,53.651894,2.0731063,24.674286,10.610827,10.212988,5.2931824,5.9530416,-5.0690303,15.73671,-2.0380344,0,5.51E-09,-4.13E-09,0,0,5.51E-09,-1.10E-08,5.51E-09,-4.13E-09,4.13E-09,2.76E-09,0,1.72E-09,-8.27E-09,-1.38E-09,-4.13E-09,-1.38E-09,-2.76E-09,3.45E-09,2.07E-09,1.38E-09,-2.76E-09,-6.89E-09,-1.72E-09,-2.07E-09,5.86E-09,2
1.7158712,1.4089825,0.43511757,0.08848381,0.15225515,0.24394299,0.010925481,0.004519263,0.005301907,0.005168042,-191.23174,107.98181,-7.8227954,-5.403737,-14.377673,-10.212882,-35.370605,-0.79185885,-14.24578,-7.389484,-15.683774,3.8397696,-18.392704,1.70E-08,-1.06E-08,-4.26E-09,-2.13E-09,0,3.26E-08,-8.51E-09,-8.51E-09,-8.51E-09,1.70E-08,-4.26E-09,0,-2.13E-09,3.41E-08,5.16E-08,6.39E-09,-2.13E-09,0,-8.51E-09,0,4.26E-09,-2.13E-09,8.51E-09,4.26E-09,-5.32E-09,7.18E-09,1
0.73068875,0.88011146,0.33787227,0.086306445,0.050643347,0.07748769,0.06753454,0.009686192,0.001842569,0.001530086,-198.06804,104.517365,-21.868198,8.142762,-20.217392,-17.180656,-19.757618,-1.0744435,-22.973076,4.8234935,-17.034449,1.7955271,-20.872099,-1.04E-08,1.30E-09,0,2.59E-08,1.47E-08,2.59E-09,7.77E-09,9.07E-09,0,7.77E-09,5.18E-09,-3.89E-09,3.89E-09,4.15E-08,6.48E-10,-7.77E-09,1.81E-08,7.21E-09,-3.89E-09,-6.13E-09,-5.18E-09,0,-1.30E-08,-1.30E-08,6.48E-10,3.24E-09,1
0.63135815,0.3920214,0.13824214,0.07370229,0.0330508,0.03440921,0.9172453,0.060826566,0.00528173,0.00222678,-201.14919,84.08728,-18.353014,22.583168,-18.926308,-11.779614,-12.823511,-4.0602055,-25.803402,3.9157698,-14.554179,-10.523865,-5.7962804,-2.65E-08,2.65E-08,9.93E-09,1.06E-08,0,3.31E-09,1.32E-08,3.31E-09,1.66E-08,3.31E-08,-2.90E-09,0,1.32E-08,-5.30E-08,3.31E-08,3.31E-09,-1.10E-08,1.16E-08,2.48E-09,8.28E-09,-3.31E-09,0,6.62E-09,0,-1.32E-08,-4.97E-09,1
0.57095975,0.4148664,0.13403754,0.07155224,0.043722317,0.10593494,0.10040681,0.007607286,0.002059822,0.001596248,-199.53836,96.52592,-22.972353,20.611609,-14.726133,-8.927868,-17.211958,3.0277631,-31.016594,6.0507183,-13.210168,-0.26820132,-19.488106,-3.41E-09,2.72E-08,1.02E-08,1.62E-08,-1.70E-09,-1.70E-09,-6.81E-09,-8.51E-10,1.02E-08,5.32E-09,-1.45E-08,5.11E-09,5.11E-09,-6.81E-09,-1.60E-08,-1.02E-08,-5.11E-09,-4.26E-10,-1.10E-08,1.02E-08,2.77E-09,6.39E-09,1.70E-09,3.41E-09,6.12E-09,-3.41E-09,1
1.5878438,1.114363,0.3611669,0.22239421,1.2175238,97.99853,3.681162,0.13049994,0.34071356,0.26261967,-116.08647,57.28465,-14.108947,13.761802,-1.3785906,-12.602473,-25.471872,8.793072,-26.102741,-0.6337832,-10.998085,4.0221066,-13.019661,-3.53E-08,-1.32E-08,8.83E-09,4.78E-09,-1.47E-09,6.44E-09,-4.42E-09,-6.62E-09,-1.47E-08,-1.10E-08,0,-1.10E-09,7.36E-10,-2.35E-08,0,1.47E-09,-2.06E-08,-3.68E-09,-2.94E-09,2.94E-09,2.94E-09,-1.47E-09,-1.99E-08,7.36E-10,-6.76E-09,1.47E-09,1
0.06342954,2.629955,1.6590439,2.8762085,2.6833494,1.6668441,0.31427178,0.003927107,0.000412288,0.000187462,-273.4629,98.33923,-87.70337,-7.7684836,2.7726552,-15.510183,-14.857645,1.1753219,-7.8775897,13.999749,9.941856,11.724911,1.7062426,-4.41E-08,-2.21E-08,3.31E-08,5.51E-09,2.21E-08,-5.51E-09,5.51E-09,5.51E-09,5.51E-09,0,-1.10E-08,0,1.65E-08,1.65E-08,-1.79E-08,-1.10E-08,-1.38E-08,5.51E-09,2.76E-09,1.10E-08,1.38E-09,0,-1.10E-08,-5.51E-09,6.89E-10,5.51E-09,3
0.026290514,3.2869477,1.6645176,3.3166895,2.9765105,1.727749,0.2152972,0.001790801,0.000177373,7.29E-05,-292.29977,101.65424,-95.68658,-11.111823,6.2623296,-17.651102,-17.046537,-0.32452455,-9.30898,11.475824,10.340252,12.721082,2.14821,-4.96E-08,-3.86E-08,-1.65E-08,-5.51E-09,1.65E-08,-5.51E-09,0,1.24E-08,-2.76E-09,-2.76E-09,0,1.10E-08,2.07E-09,-2.21E-08,2.21E-08,-1.10E-08,6.89E-10,2.76E-09,-8.27E-09,8.27E-09,4.13E-09,-5.51E-09,-5.51E-09,-1.65E-08,-4.13E-09,2.07E-09,3
0.028768992,3.8910608,2.2373836,1.9069171,2.4958372,1.110652,0.11105344,0.001548835,0.000109316,6.26E-05,-300.21243,103.18402,-90.79544,-11.971038,8.533167,-20.357822,-16.804201,-1.7708013,-5.970831,13.547736,8.825453,9.680476,1.4316156,7.17E-08,-5.51E-09,-3.31E-08,1.65E-08,0,-1.10E-08,0,-5.51E-09,-1.10E-08,1.38E-08,0,-5.51E-09,-2.76E-09,0,5.51E-09,-1.65E-08,-2.76E-09,1.65E-08,9.65E-09,5.86E-09,2.76E-09,5.51E-09,2.07E-09,0,5.51E-09,-1.38E-09,3
0.041818712,7.527132,4.6876154,1.863495,2.5400171,1.4808307,0.1707688,0.001922267,8.94E-05,5.87E-05,-298.8274,104.05295,-95.00359,-12.70364,9.97327,-25.182512,-17.021053,-4.213315,-4.307929,14.052247,13.306432,11.265568,0.37579867,-8.82E-08,-8.96E-09,2.21E-08,2.76E-09,-1.10E-08,-5.51E-09,-6.89E-09,5.51E-09,8.27E-09,-5.51E-09,0,-1.10E-08,-1.38E-09,-9.37E-08,1.79E-08,5.51E-09,1.83E-08,-2.00E-08,-1.17E-08,-5.51E-09,5.17E-09,3.45E-10,-5.51E-09,1.58E-08,9.99E-09,0,3
0.063759126,0.5198261,4.2323456,13.384506,4.670461,0.62310874,0.034582213,0.000488108,0.000287652,8.92E-05,-323.98636,81.866196,-77.403404,-31.260408,12.803745,7.2786617,-0.832386,7.540329,-4.028345,-3.9317577,1.9670988,6.1987057,8.111369,-8.82E-08,-3.31E-08,-2.21E-08,-3.03E-08,1.38E-09,-2.76E-09,1.10E-08,-8.27E-09,2.76E-09,0,-1.10E-08,2.76E-09,-5.51E-09,2.76E-08,0,-4.41E-08,-5.51E-09,-6.20E-09,-1.38E-08,5.51E-09,-2.21E-08,0,-5.51E-09,1.79E-08,-1.38E-09,-2.48E-08,3
0.22684091,2.4974337,1.9725099,4.7720017,3.341195,0.21089073,0.010759524,0.000175059,0.000107202,3.87E-05,-336.2838,111.51453,-70.13704,-43.06398,0.5061568,0.83834285,-12.124621,3.7102785,1.9972259,15.659904,6.740748,-5.3633814,-0.2974769,0,2.21E-08,-1.10E-08,-1.38E-08,-5.51E-09,1.10E-08,0,0,5.51E-09,0,-2.14E-08,0,3.79E-09,0,0,-1.65E-08,0,-1.38E-09,-2.76E-09,0,5.51E-09,0,-8.27E-09,0,0,-7.58E-09,3
0.055489026,1.0000439,1.820727,4.070563,4.1188803,0.35063243,0.017919857,0.000177413,0.000144142,4.36E-05,-348.17078,104.98756,-70.86554,-38.923206,2.577183,3.055831,-11.264417,6.452873,2.8382814,14.900517,3.4833586,-9.504855,-2.1297505,-8.82E-08,0,4.41E-08,2.21E-08,8.27E-09,5.51E-09,0,1.17E-08,-1.10E-08,-2.48E-08,-1.10E-08,-8.27E-09,1.38E-09,-1.10E-08,1.21E-07,0,0,3.79E-09,-1.10E-08,-5.51E-09,-2.76E-09,-8.27E-09,-1.72E-09,0,-2.76E-09,-1.72E-09,3
0.12665285,0.81641364,1.5995557,4.913015,4.4018893,0.37570217,0.011949619,0.000162549,0.000133702,4.11E-05,-338.14172,110.38636,-73.89485,-42.18582,4.2357078,4.6668563,-13.511939,3.1233778,-0.6696428,12.335741,2.5440125,-8.915778,0.17468297,0,3.31E-08,0,0,-1.10E-08,2.76E-09,1.10E-08,-2.76E-09,-1.10E-08,5.51E-09,-2.76E-09,5.51E-09,1.10E-08,-8.27E-08,-5.51E-09,9.65E-09,8.27E-09,6.89E-10,5.51E-09,-1.65E-08,2.62E-08,9.65E-09,-1.58E-08,8.96E-09,6.89E-09,-2.07E-08,3
4.1886816,1.0492966,0.92750084,1.3827637,1.4712371,1.5147507,1.0534966,0.33078083,0.05914096,0.019985704,-52.996952,77.188034,-46.095848,43.126667,1.7064779,16.879002,3.5782807,10.515795,-7.729032,6.828135,-9.567553,10.68807,-7.444376,0,0,-1.10E-08,0,-3.62E-09,0,0,2.50E-09,-1.38E-09,2.76E-09,4.13E-09,1.38E-09,-2.76E-09,6.62E-08,-6.89E-09,0,0,-6.89E-10,-1.38E-09,2.41E-09,3.79E-09,2.07E-09,1.38E-09,-2.41E-09,5.51E-09,3.45E-10,0
